index_code,date,close,open,high,low,SP500,gold,WTI_oil,label
eur_usd,8/1/2004,1.21880 ,1.20710 ,1.23890 ,1.19700 ,1104.24000 ,410.40000 ,42.12000 ,1.24320 
eur_usd,9/1/2004,1.24320 ,1.21800 ,1.24450 ,1.20230 ,1114.58000 ,418.70000 ,49.64000 ,1.27850 
eur_usd,10/1/2004,1.27850 ,1.24360 ,1.28460 ,1.22290 ,1130.20000 ,428.50000 ,51.76000 ,1.32930 
eur_usd,11/1/2004,1.32930 ,1.28030 ,1.33350 ,1.26560 ,1173.82000 ,451.30000 ,49.13000 ,1.35580 
eur_usd,12/1/2004,1.35580 ,1.32830 ,1.36680 ,1.31370 ,1211.92000 ,437.50000 ,43.45000 ,1.30340 
eur_usd,1/1/2005,1.30340 ,1.35470 ,1.35820 ,1.29210 ,1181.27000 ,421.80000 ,48.20000 ,1.32370 
eur_usd,2/1/2005,1.32370 ,1.30360 ,1.32810 ,1.27320 ,1203.60000 ,436.50000 ,51.75000 ,1.29630 
eur_usd,3/1/2005,1.29630 ,1.32260 ,1.34830 ,1.28540 ,1180.59000 ,428.70000 ,55.40000 ,1.28730 
eur_usd,4/1/2005,1.28730 ,1.29610 ,1.31260 ,1.27680 ,1156.85000 ,435.00000 ,49.72000 ,1.23100 
eur_usd,5/1/2005,1.23100 ,1.28610 ,1.29910 ,1.22950 ,1191.50000 ,416.30000 ,51.97000 ,1.21020 
eur_usd,6/1/2005,1.21020 ,1.23060 ,1.23570 ,1.19840 ,1191.33000 ,435.90000 ,56.50000 ,1.21300 
eur_usd,7/1/2005,1.21300 ,1.20980 ,1.22560 ,1.18670 ,1234.18000 ,429.90000 ,60.57000 ,1.23440 
eur_usd,8/1/2005,1.23440 ,1.21230 ,1.24870 ,1.21170 ,1220.33000 ,433.80000 ,68.94000 ,1.20300 
eur_usd,9/1/2005,1.20300 ,1.23390 ,1.25900 ,1.19770 ,1228.81000 ,469.00000 ,66.24000 ,1.19880 
eur_usd,10/1/2005,1.19880 ,1.20220 ,1.22070 ,1.18740 ,1207.01000 ,465.10000 ,59.76000 ,1.17890 
eur_usd,11/1/2005,1.17890 ,1.19950 ,1.20870 ,1.16410 ,1249.48000 ,494.60000 ,57.32000 ,1.18430 
eur_usd,12/1/2005,1.18430 ,1.17900 ,1.20640 ,1.16620 ,1248.29000 ,517.10000 ,61.04000 ,1.21550 
eur_usd,1/1/2006,1.21550 ,1.18450 ,1.23250 ,1.17990 ,1280.08000 ,570.80000 ,67.92000 ,1.19210 
eur_usd,2/1/2006,1.19210 ,1.21550 ,1.21670 ,1.18250 ,1280.66000 ,561.60000 ,61.41000 ,1.21190 
eur_usd,3/1/2006,1.21190 ,1.19210 ,1.22080 ,1.18600 ,1294.83000 ,581.80000 ,66.63000 ,1.26370 
eur_usd,4/1/2006,1.26370 ,1.21220 ,1.26420 ,1.20320 ,1310.61000 ,651.80000 ,71.88000 ,1.28120 
eur_usd,5/1/2006,1.28120 ,1.26270 ,1.29730 ,1.25550 ,1270.09000 ,642.50000 ,71.29000 ,1.27890 
eur_usd,6/1/2006,1.27890 ,1.28150 ,1.29820 ,1.24790 ,1270.20000 ,613.50000 ,73.93000 ,1.27630 
eur_usd,7/1/2006,1.27630 ,1.27880 ,1.28620 ,1.24580 ,1276.66000 ,634.20000 ,74.40000 ,1.28070 
eur_usd,8/1/2006,1.28070 ,1.27610 ,1.29400 ,1.26940 ,1303.82000 ,625.90000 ,70.26000 ,1.26720 
